Licence,Grid Supply Point,Bulk Supply Point,Primary Substation,Proposed Connection Voltage (kV),Connection Status,Total Demand Number,Total Demand Capacity (MW),Total Generation Number,Total Generation Capacity (MW)
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Sherwood Park 33 11 kV S Stn,11,Budget Estimates Provided,3,15,0,0
EMIDS,Chesterfield 132 kV S Stn,Chesterfield 33 kV S Stn,-,33,Budget Estimates Provided,1,21,8,186.02
EMIDS,Chesterfield 132 kV S Stn,Clipstone 33 kV S Stn,-,33,Budget Estimates Provided,1,30,5,140
EMIDS,Chesterfield 132 kV S Stn,Goitside 33 kV S Stn,-,33,Budget Estimates Provided,0,0,6,135
EMIDS,Chesterfield 132 kV S Stn,Mansfield 33 kV S Stn,-,33,Budget Estimates Provided,1,20,1,20
EMIDS,Chesterfield 132 kV S Stn,Pinxton 132 kV S Stn,Pinxton 11 kV S Stn,11,Budget Estimates Provided,2,2.25,0,0
EMIDS,Chesterfield 132 kV S Stn,Staveley 33 kV S Stn,-,33,Budget Estimates Provided,1,30,2,60
EMIDS,Chesterfield 132 kV S Stn,Staveley 33 kV S Stn,Staveley 11 kV S Stn,11,Budget Estimates Provided,1,1.3,0,0
EMIDS,Chesterfield 132 kV S Stn,Whitwell 33 kV S Stn,-,33,Budget Estimates Provided,0,0,3,75
EMIDS,Chesterfield 132 kV S Stn,Whitwell 33 kV S Stn,Westhorpe 33 11 kV S Stn,11,Budget Estimates Provided,0,0,1,5
EMIDS,Coventry 132 kV S Stn,-,-,132,Budget Estimates Provided,1,80,10,459.8
EMIDS,Coventry 132 kV S Stn,Coventry North 33 kV S Stn,Walsgrave 33 11 kV S Stn,11,Budget Estimates Provided,1,5,0,0
EMIDS,Coventry 132 kV S Stn,Daventry 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,50
EMIDS,Coventry 132 kV S Stn,Daventry 33 kV S Stn,Crick 33 11 kV S Stn,11,Budget Estimates Provided,2,6,0,0
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,-,33,Budget Estimates Provided,1,10,3,60
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Hinckley 11 kV S Stn,11,Budget Estimates Provided,1,2.5,0,0
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Sapcote 33 11 kV S Stn,11,Budget Estimates Provided,1,1.28,0,0
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Wood Lane 33 11 kV S Stn,11,Budget Estimates Provided,2,21.7,0,0
EMIDS,Coventry 132 kV S Stn,Nuneaton 33 kV S Stn,-,33,Budget Estimates Provided,0,0,1,30
EMIDS,Coventry 132 kV S Stn,Nuneaton 33 kV S Stn,Langdale Drive 33 11 kV S Stn,11,Budget Estimates Provided,2,9.995,0,0
EMIDS,Coventry 132 kV S Stn,Pailton 33 kV S Stn,-,33,Budget Estimates Provided,0,0,3,70
EMIDS,Coventry 132 kV S Stn,Rugby 33 kV S Stn,Lawford 33 11 kV S Stn,11,Budget Estimates Provided,1,1.25,0,0
EMIDS,Coventry 132 kV S Stn,Whitley 132 kV S Stn,Coventry South 11 kV S Stn,11,Budget Estimates Provided,2,4.5,0,0
EMIDS,Coventry 132 kV S Stn,Whitley 33 kV S Stn,London Road 33 6 6 kV S Stn,6.6,Budget Estimates Provided,1,1.4,0,0
EMIDS,Drakelow 132 kV,-,-,132,Budget Estimates Provided,2,113,3,163
EMIDS,Drakelow 132 kV,Burton 132 kV S Stn,Burton 11 kV,11,Budget Estimates Provided,1,1.3,0,0
EMIDS,Drakelow 132 kV,Burton 33 kV,-,33,Budget Estimates Provided,0,0,1,16
EMIDS,Drakelow 132 kV,Burton 33 kV,Hatton 33 11 kV S Stn,11,Budget Estimates Provided,0,0,1,5
EMIDS,Drakelow 132 kV,Burton 33 kV,Trent Alloys 33 11 kV S Stn,11,Budget Estimates Provided,1,1.25,0,0
EMIDS,Drakelow 132 kV,Burton South 33 kV S Stn,Barton Under Needwood 33 11 kV S Stn,11,Budget Estimates Provided,1,1.7,0,0
EMIDS,Drakelow 132 kV,Gresley 33 kV S Stn,-,33,Budget Estimates Provided,1,17,2,45
EMIDS,Drakelow 132 kV,Gresley 33 kV S Stn,Ashby 33 11 kV S Stn,11,Budget Estimates Provided,1,1.22,0,0
EMIDS,Drakelow 132 kV,Gresley 33 kV S Stn,Gresley 11 kV S Stn,11,Budget Estimates Provided,0,0,1,5
EMIDS,East Claydon 132 kV S Stn,-,-,132,Budget Estimates Provided,2,119.9,7,369.9
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Victoria Road 33 11 kV S Stn,11,Budget Estimates Provided,1,2,0,0
EMIDS,East Claydon 132 kV S Stn,Brackley 132 kV S Stn,-,132,Budget Estimates Provided,2,60,1,30
EMIDS,East Claydon 132 kV S Stn,Brackley 132 kV S Stn,Towcester 33 11 kV S Stn,11,Budget Estimates Provided,3,11,0,0
EMIDS,East Claydon 132 kV S Stn,Bradwell Abbey 33 kV S Stn,-,33,Budget Estimates Provided,0,0,1,30
EMIDS,East Claydon 132 kV S Stn,Bradwell Abbey 33 kV S Stn,Marlborough Street 33 11 kV S Stn,11,Budget Estimates Provided,1,1.275,0,0
EMIDS,East Claydon 132 kV S Stn,Bradwell Abbey 33 kV S Stn,Newport Pagnell 33 11 kV S Stn,11,Budget Estimates Provided,1,9.5,0,0
EMIDS,East Claydon 132 kV S Stn,Bradwell Abbey 33 kV S Stn,Wolverton 33 11 kV S Stn,11,Budget Estimates Provided,1,2,0,0
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,-,33,Budget Estimates Provided,0,0,3,66
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,Buckingham 33 11 kV S Stn,11,Budget Estimates Provided,1,1.5,0,0
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,Kiln Farm 33 11 kV S Stn,11,Budget Estimates Provided,1,2,0,0
EMIDS,Enderby 132 kV S Stn,-,-,132,Budget Estimates Provided,4,340,5,400
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,-,33,Budget Estimates Provided,1,30,3,90
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,Interlink Park 33 11 kV S Stn,11,Budget Estimates Provided,1,1.4,0,0
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,Osbaston 33 11 kV S Stn,11,Budget Estimates Provided,1,5,0,0
EMIDS,Enderby 132 kV S Stn,Leicester 33 kV S Stn,Leicester 11 kV S Stn,11,Budget Estimates Provided,1,1.5,0,0
EMIDS,Enderby 132 kV S Stn,Leicester East 33 kV S Stn,-,33,Budget Estimates Provided,1,21.012,0,0
EMIDS,Enderby 132 kV S Stn,Leicester East 33 kV S Stn,Stoneygate 33 6 6 kV S Stn,6.6,Budget Estimates Provided,2,31.154,1,5
EMIDS,Enderby 132 kV S Stn,Leicester East 33 kV S Stn,Thurnby 33 11 kV S Stn,11,Budget Estimates Provided,1,1.622,0,0
EMIDS,Enderby 132 kV S Stn,Leicester North 33 kV S Stn,Beaumont Leys 33 11 kV S Stn,11,Budget Estimates Provided,6,7.4,0,0
EMIDS,Enderby 132 kV S Stn,Leicester North 33 kV S Stn,Hockley Farm Road 33 11 kV S Stn,11,Budget Estimates Provided,1,1.6,0,0
EMIDS,Enderby 132 kV S Stn,Wigston 33 kV S Stn,-,33,Budget Estimates Provided,4,69,1,30
EMIDS,Enderby 132 kV S Stn,Wigston 33 kV S Stn,Alliance And Leicester 33 11 kV S Stn,11,Budget Estimates Provided,2,21,0,0
EMIDS,Enderby 132 kV S Stn,Wigston 33 kV S Stn,Whetstone 33 11 kV S Stn,11,Budget Estimates Provided,3,8.052,2,8
EMIDS,Grendon 132 kV S Stn,-,-,132,Budget Estimates Provided,8,810,13,664.9
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,-,33,Budget Estimates Provided,1,20,4,85
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Corby No2 11 kV S Stn,11,Budget Estimates Provided,4,10.2,1,5
EMIDS,Grendon 132 kV S Stn,Corby North 132 kV S Stn,-,33,Budget Estimates Provided,0,0,1,30
EMIDS,Grendon 132 kV S Stn,Irthlingborough 33 kV S Stn,-,33,Budget Estimates Provided,1,80,0,0
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,-,33,Budget Estimates Provided,1,24,1,24
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,Burton Latimer 33 11 kV S Stn,11,Budget Estimates Provided,1,1,0,0
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,Desborough 33 11 kV S Stn,11,Budget Estimates Provided,1,2,0,0
EMIDS,Grendon 132 kV S Stn,Kibworth 33 kV S Stn,-,33,Budget Estimates Provided,1,15,4,90
EMIDS,Grendon 132 kV S Stn,Kibworth 33 kV S Stn,Farndon Road 33 11 kV S Stn,11,Budget Estimates Provided,1,1.3,0,0
EMIDS,Grendon 132 kV S Stn,Kibworth 33 kV S Stn,Kibworth 11 kV S Stn,11,Budget Estimates Provided,1,1.44,0,0
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,-,33,Budget Estimates Provided,3,69.4,3,90
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,Holwell 33 11 kV S Stn,11,Budget Estimates Provided,3,12.19,0,0
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,Melton Mowbray 11 kV S Stn,11,Budget Estimates Provided,1,1.225,0,0
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,Old Dalby 33 11 kV S Stn,11,Budget Estimates Provided,1,1.5,0,0
EMIDS,Grendon 132 kV S Stn,Northampton 33 kV S Stn,Campbell Street 33 11 kV S Stn,11,Budget Estimates Provided,1,4.1,0,0
EMIDS,Grendon 132 kV S Stn,Northampton East 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,38.2
EMIDS,Grendon 132 kV S Stn,Oakham 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,60
EMIDS,Grendon 132 kV S Stn,Oakham 33 kV S Stn,Oakham 11 kV S Stn,11,Budget Estimates Provided,1,1.32,0,0
EMIDS,Grendon 132 kV S Stn,Wellingborough 33 kV S Stn,-,33,Budget Estimates Provided,3,82,5,150
EMIDS,Lea Marston 132 kV S Stn,Tamworth 33 kV S Stn,-,33,Budget Estimates Provided,1,10,1,10
EMIDS,Lea Marston 132 kV S Stn,Tamworth Town 132 kV S Stn,Tamworth Town 11 kV S Stn,11,Budget Estimates Provided,1,1.125,1,1
EMIDS,Ratcliffe On Soar 132 kV S Stn,-,-,132,Budget Estimates Provided,2,125,5,274.9
EMIDS,Ratcliffe On Soar 132 kV S Stn,Loughborough 33 kV S Stn,Shepshed 33 11 kV S Stn,11,Budget Estimates Provided,2,2,1,4.94
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,Castle Road 33 11 kV S Stn,11,Budget Estimates Provided,1,2,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,Clifton 33 11 kV S Stn,11,Budget Estimates Provided,2,3,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,Cotgrave 33 11 kV S Stn,11,Budget Estimates Provided,1,1,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,North Wilford 33 11 kV S Stn,11,Budget Estimates Provided,2,3,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Toton 3 33 kV S Stn,-,33,Budget Estimates Provided,0,0,1,30
EMIDS,Ratcliffe On Soar 132 kV S Stn,Toton 3 33 kV S Stn,Ratcliffe On Soar 33 11 kV S Stn,11,Budget Estimates Provided,0,0,1,7
EMIDS,Ratcliffe On Soar 132 kV S Stn,Willoughby 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,55
EMIDS,Ratcliffe On Soar 132 kV S Stn,Willoughby 33 kV S Stn,Syston 33 11 kV S Stn,11,Budget Estimates Provided,2,7.6,0,0
EMIDS,Staythorpe  C  132 kV S Stn,-,-,132,Budget Estimates Provided,2,149,12,678.8
EMIDS,Staythorpe  C  132 kV S Stn,Checkerhouse 33 kV S Stn,-,33,Budget Estimates Provided,0,0,12,260
EMIDS,Staythorpe  C  132 kV S Stn,Checkerhouse 33 kV S Stn,Tuxford 33 11 kV S Stn,11,Budget Estimates Provided,1,1,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Grantham South 132 kV S Stn,-,132,Budget Estimates Provided,0,0,1,25
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,-,33,Budget Estimates Provided,1,3.542,5,140
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,Newark Junction 33 11 kV S Stn,11,Budget Estimates Provided,1,5.5,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,Swinderby 33 11 kV S Stn,11,Budget Estimates Provided,2,9.1,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Staythorpe  B  132 kV S Stn,-,132,Budget Estimates Provided,1,30,2,60
EMIDS,Stoke Bardolph 132 kV,-,-,132,Budget Estimates Provided,1,150,0,0
EMIDS,Stoke Bardolph 132 kV,Nottingham East 33 kV S Stn,-,33,Budget Estimates Provided,1,18,1,10
EMIDS,Stoke Bardolph 132 kV,Nottingham North 33 kV S Stn,-,33,Budget Estimates Provided,2,43,0,0
EMIDS,Walpole 132 kV S Stn,-,-,132,Budget Estimates Provided,0,0,6,340
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,-,33,Budget Estimates Provided,0,0,4,100
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Marsh Lane 33 11 kV S Stn,11,Budget Estimates Provided,1,5,1,5
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Mount Bridge Boston 33 11 kV S Stn,11,Budget Estimates Provided,1,1.2,0,0
EMIDS,Walpole 132 kV S Stn,South Holland 33 kV S Stn,-,33,Budget Estimates Provided,0,0,1,30
EMIDS,Walpole 132 kV S Stn,Spalding 132 kV S Stn,-,132,Budget Estimates Provided,1,20,0,0
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,-,33,Budget Estimates Provided,0,0,3,75
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,Crown Fm 33 11 kV S Stn,11,Budget Estimates Provided,1,5,1,5
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,Spalding Clay Lake 11 kV S Stn,11,Budget Estimates Provided,2,8.5,1,1.5
EMIDS,Walpole 132 kV S Stn,Stamford 33 kV S Stn,-,33,Budget Estimates Provided,0,0,1,20
EMIDS,Walpole 132 kV S Stn,Stamford 33 kV S Stn,Stamford 11 kV S Stn,11,Budget Estimates Provided,1,1.2,0,0
EMIDS,West Burton 132 kV S Stn,-,-,132,Budget Estimates Provided,1,300,8,369.9
EMIDS,West Burton 132 kV S Stn,Lincoln Local 132 kV S Stn,Lincoln No 2 11 kV S Stn,11,Budget Estimates Provided,4,13.5,0,0
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,-,33,Budget Estimates Provided,1,20,3,90
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,Doddington Park 33 11 kV S Stn,11,Budget Estimates Provided,2,7,0,0
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,North Hykeham 33 11 kV S Stn,11,Budget Estimates Provided,1,1.2,0,0
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,Rookery Lane Lincoln 33 11 kV S Stn,11,Budget Estimates Provided,1,2.911,0,0
EMIDS,West Burton 132 kV S Stn,Worksop 33 kV S Stn,-,33,Budget Estimates Provided,2,17.9,1,30
EMIDS,West Burton 132 kV S Stn,Worksop 33 kV S Stn,Kilton Rd 33 11 kV S Stn,11,Budget Estimates Provided,1,5,0,0
EMIDS,Willington 132 kV S Stn,-,-,132,Budget Estimates Provided,4,214,15,768.9
EMIDS,Willington 132 kV S Stn,Derby 132 kV S Stn,Derby 11 kV S Stn,11,Budget Estimates Provided,4,4.5,0,0
EMIDS,Willington 132 kV S Stn,Derby 33 kV S Stn,Chaddesden 33 11 kV S Stn,11,Budget Estimates Provided,1,3,0,0
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,75
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,Allenton 33 11 kV S Stn,11,Budget Estimates Provided,1,3,0,0
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,Infinity Park 33 11 kV S Stn,11,Budget Estimates Provided,2,3.115,0,0
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,Silverstone 33 11 kV S Stn,11,Budget Estimates Provided,1,1,0,0
EMIDS,Willington 132 kV S Stn,Heanor 33 kV S Stn,-,33,Budget Estimates Provided,0,0,5,120
EMIDS,Willington 132 kV S Stn,Spondon B 33 kV S Stn,Spondon 11 kV S Stn,11,Budget Estimates Provided,2,3.5,0,0
EMIDS,Willington 132 kV S Stn,Stanton 33 kV S Stn,-,33,Budget Estimates Provided,2,33,1,30
EMIDS,Willington 132 kV S Stn,Uttoxeter 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,55
EMIDS,Willington 132 kV S Stn,Winster 33 kV S Stn,-,33,Budget Estimates Provided,0,0,2,60
EMIDS,Willington 132 kV S Stn,Winster 33 kV S Stn,Matlock 33 11 kV S Stn,11,Budget Estimates Provided,1,2.5,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry Central 33 kV S Stn,Holbrook Lane 33 6 6 kV S Stn,6.6,Connection offers accepted,1,2.999,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry Central 33 kV S Stn,Sandy Lane 33 6 6 kV S Stn,6.6,Connection offers accepted,1,1.5,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry West 33 kV S Stn,Hawkesmill Lane 33 6 6 kV S Stn,6.6,Connection offers accepted,1,1.164,0,0
EMIDS,Berkswell 132 kV S Stn,Warwick 132 kV S Stn,Warwick 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,Bicker Fen 132 kV S Stn,Grantham North 132 kV S Stn,Grantham North 11 kV S Stn,11,Connection offers accepted,1,6,1,1.7
EMIDS,Bicker Fen 132 kV S Stn,Skegness 33 kV S Stn,-,33,Connection offers accepted,0,0,1,9.6
EMIDS,Bicker Fen 132 kV S Stn,Skegness 33 kV S Stn,Spilsby 33 11 kV S Stn,11,Connection offers accepted,1,3,0,0
EMIDS,Bicker Fen 132 kV S Stn,Sleaford 33 kV S Stn,Woodhall Spa 33 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Chesterfield 132 kV S Stn,-,-,132,Connection offers accepted,0,0,1,20
EMIDS,Chesterfield 132 kV S Stn,Alfreton 33 kV S Stn,Meadow Lane 33 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,-,33,Connection offers accepted,1,8,0,0
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Annesley (Kirkby) 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Hucknall,11,Connection offers accepted,1,4,0,0
EMIDS,Chesterfield 132 kV S Stn,Chesterfield 33 kV S Stn,-,33,Connection offers accepted,0,0,1,9.029
EMIDS,Chesterfield 132 kV S Stn,Chesterfield 33 kV S Stn,Sheepbridge 6 6 kV S Stn,11,Connection offers accepted,1,2.2,0,0
EMIDS,Chesterfield 132 kV S Stn,Clipstone 33 kV S Stn,Crown Fm 33 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,Chesterfield 132 kV S Stn,Clipstone 33 kV S Stn,Rufford 33 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Chesterfield 132 kV S Stn,Goitside 33 kV S Stn,Goitside 6 6 kV S Stn,6.6,Connection offers accepted,1,1,0,0
EMIDS,Chesterfield 132 kV S Stn,Goitside 33 kV S Stn,Queens Park 33 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,Chesterfield 132 kV S Stn,Mansfield 33 kV S Stn,Skegby Lane 33 11 kV S Stn,11,Connection offers accepted,1,1.1,0,0
EMIDS,Chesterfield 132 kV S Stn,Mansfield 33 kV S Stn,Teversal 33 11 kV S Stn,11,Connection offers accepted,1,1.415,0,0
EMIDS,Chesterfield 132 kV S Stn,Pinxton 132 kV S Stn,Pinxton 11 kV S Stn,11,Connection offers accepted,1,13.3,0,0
EMIDS,Coventry 132 kV S Stn,-,-,132,Connection offers accepted,1,10,1,50
EMIDS,Coventry 132 kV S Stn,Coventry North 33 kV S Stn,-,33,Connection offers accepted,0,0,1,35
EMIDS,Coventry 132 kV S Stn,Coventry North 33 kV S Stn,Walsgrave 33 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,Coventry 132 kV S Stn,Daventry 33 kV S Stn,Weedon 33 11 kV S Stn,11,Connection offers accepted,1,3,0,0
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,-,33,Connection offers accepted,0,0,1,20
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Barwell 33 11 kV S Stn,11,Connection offers accepted,1,6.758,0,0
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Hinckley 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Sapcote 33 11 kV S Stn,11,Connection offers accepted,1,1.35,0,0
EMIDS,Coventry 132 kV S Stn,Nuneaton 33 kV S Stn,Nuneaton 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,Coventry 132 kV S Stn,Rugby 132 kV S Stn,Rugby 11 kV S Stn,11,Connection offers accepted,2,2.886,0,0
EMIDS,Coventry 132 kV S Stn,Rugby 33 kV S Stn,-,33,Connection offers accepted,1,5,0,0
EMIDS,Coventry 132 kV S Stn,Rugby 33 kV S Stn,Lawford 33 11 kV S Stn,11,Connection offers accepted,1,6,0,0
EMIDS,Coventry 132 kV S Stn,Whitley 33 kV S Stn,Ryton 33 11 kV S Stn,11,Connection offers accepted,1,3,0,0
EMIDS,Drakelow 132 kV,-,-,132,Connection offers accepted,1,35,1,35
EMIDS,Drakelow 132 kV,Burton 132 kV S Stn,Burton 11 kV,11,Connection offers accepted,2,3.9,0,0
EMIDS,Drakelow 132 kV,Burton 33 kV,Hatton 33 11 kV S Stn,11,Connection offers accepted,1,3,0,0
EMIDS,Drakelow 132 kV,Burton 33 kV,Trent Alloys 33 11 kV S Stn,11,Connection offers accepted,1,1.25,0,0
EMIDS,Drakelow 132 kV,Gresley 33 kV S Stn,Ashby 33 11 kV S Stn,11,Connection offers accepted,1,4.4,0,0
EMIDS,East Claydon 132 kV S Stn,-,-,132,Connection offers accepted,3,159.8,3,189.8
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Fox Milne 33 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Kingston 33 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Secklow Gate 33 11 kV S Stn,11,Connection offers accepted,2,3.6,0,0
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Tattenhoe Primary,11,Connection offers accepted,1,1.192,0,0
EMIDS,East Claydon 132 kV S Stn,Brackley 132 kV S Stn,Towcester 33 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,-,33,Connection offers accepted,0,0,1,21.875
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,Kiln Farm 33 11 kV S Stn,11,Connection offers accepted,1,5,0,0
EMIDS,Enderby 132 kV S Stn,-,-,132,Connection offers accepted,1,49.9,2,99.8
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,-,33,Connection offers accepted,1,10.4,0,0
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,Desford 33 11 kV S Stn,11,Connection offers accepted,1,8.262,0,0
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,Interlink Park 33 11 kV S Stn,11,Connection offers accepted,1,4,0,0
